in total there are 13949 words in the development set
out of which your classifier mislabeled 1919

If I had labeled all words as non-entity, I would have mislabeled 2004

The following features have been used:

pos
find_Names


Decision tree:
correct=B-EntityLOC guess=O        word=einen                         
correct=B-EntityLOC guess=O        word=einen                         
correct=B-EntityLOC guess=O        word=einen                         
correct=B-EntityLOC guess=O        word=einer                         
correct=B-EntityLOC guess=O        word=einer                         
correct=B-EntityLOC guess=O        word=hove                          
correct=B-EntityLOC guess=O        word=hove                          
correct=B-EntityLOC guess=O        word=hûs                           
correct=B-EntityLOC guess=O        word=im                            
correct=B-EntityLOC guess=O        word=in                            
correct=B-EntityLOC guess=O        word=inz                           
correct=B-EntityLOC guess=O        word=inz                           
correct=B-EntityLOC guess=O        word=ir                            
correct=B-EntityLOC guess=O        word=ir                            
correct=B-EntityLOC guess=O        word=ir                            
correct=B-EntityLOC guess=O        word=ir                            
correct=B-EntityLOC guess=O        word=ir                            
correct=B-EntityLOC guess=O        word=ir                            
correct=B-EntityLOC guess=O        word=lant                          
correct=B-EntityLOC guess=O        word=lant                          
correct=B-EntityLOC guess=O        word=mitten                        
correct=B-EntityLOC guess=O        word=mîn                           
correct=B-EntityLOC guess=O        word=mîn                           
correct=B-EntityLOC guess=O        word=mînen                         
correct=B-EntityLOC guess=O        word=ronen                         
correct=B-EntityLOC guess=O        word=sîn                           
correct=B-EntityLOC guess=O        word=sîn                           
correct=B-EntityLOC guess=O        word=sîn                           
correct=B-EntityLOC guess=O        word=sîn                           
correct=B-EntityLOC guess=O        word=sînem                         
correct=B-EntityLOC guess=O        word=sînem                         
correct=B-EntityLOC guess=O        word=sîner                         
correct=B-EntityLOC guess=O        word=underm                        
correct=B-EntityLOC guess=O        word=vome                          
correct=B-EntityLOC guess=O        word=zAlexandrîe                   
correct=B-EntityLOC guess=O        word=zem                           
correct=B-EntityLOC guess=O        word=zen                           
correct=B-EntityLOC guess=O        word=zen                           
correct=B-EntityLOC guess=O        word=zen                           
correct=B-EntityLOC guess=O        word=zende                         
correct=B-EntityLOC guess=O        word=zer                           
correct=B-EntityLOC guess=O        word=zer                           
correct=B-EntityLOC guess=O        word=zer                           
correct=B-EntityLOC guess=O        word=zer                           
correct=B-EntityLOC guess=O        word=zer                           
correct=B-EntityLOC guess=O        word=zer                           
correct=B-EntityLOC guess=O        word=zir                           
correct=B-EntityLOC guess=O        word=zwischem                      
correct=B-EntityLOC guess=O        word=ûfen                          
correct=B-EntityLOC guess=O        word=ûffen                         
correct=B-EntityPER guess=O        word=Artûs                         
correct=B-EntityPER guess=O        word=Artûses                       
correct=B-EntityPER guess=O        word=Artûses                       
correct=B-EntityPER guess=O        word=Clâmidê                       
correct=B-EntityPER guess=O        word=Clâmidê                       
correct=B-EntityPER guess=O        word=Clâmidê                       
correct=B-EntityPER guess=O        word=Clâmidês                      
correct=B-EntityPER guess=O        word=Clâmidês                      
correct=B-EntityPER guess=O        word=Clâmidês                      
correct=B-EntityPER guess=O        word=Clâmidês                      
correct=B-EntityPER guess=O        word=Clâmidês                      
correct=B-EntityPER guess=O        word=Clâmidês                      
correct=B-EntityPER guess=O        word=Condwîr                       
correct=B-EntityPER guess=O        word=Der                           
correct=B-EntityPER guess=O        word=Der                           
correct=B-EntityPER guess=O        word=Die                           
correct=B-EntityPER guess=O        word=Gahmurete                     
correct=B-EntityPER guess=O        word=Gahmuretes                    
correct=B-EntityPER guess=O        word=Gahmuretes                    
correct=B-EntityPER guess=O        word=Gurnemanzes                   
correct=B-EntityPER guess=O        word=Gâwâne                        
correct=B-EntityPER guess=O        word=Ie                            
correct=B-EntityPER guess=O        word=Keie                          
correct=B-EntityPER guess=O        word=Kingrûn                       
correct=B-EntityPER guess=O        word=Kingrûn                       
correct=B-EntityPER guess=O        word=Kingrûn                       
correct=B-EntityPER guess=O        word=Kingrûn                       
correct=B-EntityPER guess=O        word=Kingrûne                      
correct=B-EntityPER guess=O        word=Kingrûne                      
correct=B-EntityPER guess=O        word=Kingrûnes                     
correct=B-EntityPER guess=O        word=Lîâze                         
correct=B-EntityPER guess=O        word=Lîâze                         
correct=B-EntityPER guess=O        word=Lîâzen                        
correct=B-EntityPER guess=O        word=Manpfiljôt                    
correct=B-EntityPER guess=O        word=Orilus                        
correct=B-EntityPER guess=O        word=Parzivâl                      
correct=B-EntityPER guess=O        word=Parzivâl                      
correct=B-EntityPER guess=O        word=Parzivâl                      
correct=B-EntityPER guess=O        word=Parzivâl                      
correct=B-EntityPER guess=O        word=Parzivâl                      
correct=B-EntityPER guess=O        word=Parzivâl                      
correct=B-EntityPER guess=O        word=Parzivâl                      
correct=B-EntityPER guess=O        word=Parzivâl                      
correct=B-EntityPER guess=O        word=Parzivâl                      
correct=B-EntityPER guess=O        word=Parzivâles                    
correct=B-EntityPER guess=O        word=Parzivâles                    
correct=B-EntityPER guess=O        word=Schenteflûrn                  
correct=B-EntityPER guess=O        word=Sigûne                        
correct=B-EntityPER guess=O        word=Sigûnen                       
correct=B-EntityPER guess=O        word=ahzehen                       
correct=B-EntityPER guess=O        word=al                            
correct=B-EntityPER guess=O        word=al                            
correct=B-EntityPER guess=O        word=allen                         
correct=B-EntityPER guess=O        word=alt                           
correct=B-EntityPER guess=O        word=ander                         
correct=B-EntityPER guess=O        word=ans                           
correct=B-EntityPER guess=O        word=beide                         
correct=B-EntityPER guess=O        word=boten                         
correct=B-EntityPER guess=O        word=bêden                         
correct=B-EntityPER guess=O        word=cuns                          
correct=B-EntityPER guess=O        word=daz                           
correct=B-EntityPER guess=O        word=daz                           
correct=B-EntityPER guess=O        word=daz                           
correct=B-EntityPER guess=O        word=daz                           
correct=B-EntityPER guess=O        word=daz                           
correct=B-EntityPER guess=O        word=daz                           
correct=B-EntityPER guess=O        word=daz                           
correct=B-EntityPER guess=O        word=de                            
correct=B-EntityPER guess=O        word=de                            
correct=B-EntityPER guess=O        word=dem                           
correct=B-EntityPER guess=O        word=dem                           
correct=B-EntityPER guess=O        word=dem                           
correct=B-EntityPER guess=O        word=dem                           
correct=B-EntityPER guess=O        word=dem                           
correct=B-EntityPER guess=O        word=dem                           
correct=B-EntityPER guess=O        word=dem                           
correct=B-EntityPER guess=O        word=dem                           
correct=B-EntityPER guess=O        word=dem                           
correct=B-EntityPER guess=O        word=dem                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=den                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=der                           
correct=B-EntityPER guess=O        word=des                           
correct=B-EntityPER guess=O        word=des                           
correct=B-EntityPER guess=O        word=des                           
correct=B-EntityPER guess=O        word=des                           
correct=B-EntityPER guess=O        word=des                           
correct=B-EntityPER guess=O        word=des                           
correct=B-EntityPER guess=O        word=des                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=die                           
correct=B-EntityPER guess=O        word=dirre                         
correct=B-EntityPER guess=O        word=dirre                         
correct=B-EntityPER guess=O        word=dirre                         
correct=B-EntityPER guess=O        word=dirre                         
correct=B-EntityPER guess=O        word=dirre                         
correct=B-EntityPER guess=O        word=dise                          
correct=B-EntityPER guess=O        word=dise                          
correct=B-EntityPER guess=O        word=disen                         
correct=B-EntityPER guess=O        word=disen                         
correct=B-EntityPER guess=O        word=disen                         
correct=B-EntityPER guess=O        word=disen                         
correct=B-EntityPER guess=O        word=disen                         
correct=B-EntityPER guess=O        word=disiu                         
correct=B-EntityPER guess=O        word=disiu                         
correct=B-EntityPER guess=O        word=disiu                         
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=diu                           
correct=B-EntityPER guess=O        word=duc                           
correct=B-EntityPER guess=O        word=dîn                           
correct=B-EntityPER guess=O        word=dîn                           
correct=B-EntityPER guess=O        word=dîn                           
correct=B-EntityPER guess=O        word=dîn                           
correct=B-EntityPER guess=O        word=dîn                           
correct=B-EntityPER guess=O        word=dîner                         
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=ein                           
correct=B-EntityPER guess=O        word=eine                          
correct=B-EntityPER guess=O        word=einer                         
correct=B-EntityPER guess=O        word=einer                         
correct=B-EntityPER guess=O        word=eines                         
correct=B-EntityPER guess=O        word=eins                          
correct=B-EntityPER guess=O        word=enwederm                      
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=got                           
correct=B-EntityPER guess=O        word=gote                          
correct=B-EntityPER guess=O        word=gotes                         
correct=B-EntityPER guess=O        word=gotes                         
correct=B-EntityPER guess=O        word=grôz                          
correct=B-EntityPER guess=O        word=gunêrter                      
correct=B-EntityPER guess=O        word=guoten                        
correct=B-EntityPER guess=O        word=her                           
correct=B-EntityPER guess=O        word=her                           
correct=B-EntityPER guess=O        word=her                           
correct=B-EntityPER guess=O        word=hundert                       
correct=B-EntityPER guess=O        word=hêr                           
correct=B-EntityPER guess=O        word=hêr                           
correct=B-EntityPER guess=O        word=hêr                           
correct=B-EntityPER guess=O        word=hêr                           
correct=B-EntityPER guess=O        word=hêr                           
correct=B-EntityPER guess=O        word=hêrre                         
correct=B-EntityPER guess=O        word=hêrre                         
correct=B-EntityPER guess=O        word=hêrre                         
correct=B-EntityPER guess=O        word=hêrre                         
correct=B-EntityPER guess=O        word=hêrre                         
correct=B-EntityPER guess=O        word=hêrre                         
correct=B-EntityPER guess=O        word=ich                           
correct=B-EntityPER guess=O        word=ich                           
correct=B-EntityPER guess=O        word=ie                            
correct=B-EntityPER guess=O        word=ieslîch                       
correct=B-EntityPER guess=O        word=ieslîchem                     
correct=B-EntityPER guess=O        word=inz                           
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=ir                            
correct=B-EntityPER guess=O        word=iur                           
correct=B-EntityPER guess=O        word=iwer                          
correct=B-EntityPER guess=O        word=iwer                          
correct=B-EntityPER guess=O        word=iwerem                        
correct=B-EntityPER guess=O        word=iwerem                        
correct=B-EntityPER guess=O        word=junchêrrelîn                  
correct=B-EntityPER guess=O        word=junchêrren                    
correct=B-EntityPER guess=O        word=juncvrouwen                   
correct=B-EntityPER guess=O        word=kameraere                     
correct=B-EntityPER guess=O        word=kameraere                     
correct=B-EntityPER guess=O        word=kint                          
correct=B-EntityPER guess=O        word=küene                         
correct=B-EntityPER guess=O        word=künec                         
correct=B-EntityPER guess=O        word=lieber                        
correct=B-EntityPER guess=O        word=liebiu                        
correct=B-EntityPER guess=O        word=man                           
correct=B-EntityPER guess=O        word=manc                          
correct=B-EntityPER guess=O        word=manc                          
correct=B-EntityPER guess=O        word=manec                         
correct=B-EntityPER guess=O        word=manec                         
correct=B-EntityPER guess=O        word=manec                         
correct=B-EntityPER guess=O        word=manec                         
correct=B-EntityPER guess=O        word=manege                        
correct=B-EntityPER guess=O        word=manege                        
correct=B-EntityPER guess=O        word=manegem                       
correct=B-EntityPER guess=O        word=manegen                       
correct=B-EntityPER guess=O        word=maneger                       
correct=B-EntityPER guess=O        word=mich                          
correct=B-EntityPER guess=O        word=mâge                          
correct=B-EntityPER guess=O        word=mê                            
